Season,Country,ILI_CASES,REL,B_REL,H3_REL,H1pdm_REL,H3_REL_LAG1,H1pdm_REL_LAG1,B_REL_LAG1,H3_REL_LAG2,H1pdm_REL_LAG2,B_REL_LAG2,H3_REL_LAG3,H1pdm_REL_LAG3,B_REL_LAG3
2014,Iceland,2851,0.127299517771031,0.391690823910864,0.827891968720688,0.0534123850787541,0.0524005020465984,0.4836969419686,0.0524005020465984,0.51482198876411,1.08074746912285,0.407466798587406,1.57974429631903,1.08074746912285,0.407466798587406
2015,Iceland,2844,0.126986961957492,0.402334928974234,0.0586738438087424,0.808860846791948,0.827891968720688,0.0534123850787541,0.391690823910864,0.880292470767286,0.537109327047354,0.444091325957462,1.3427139574848,1.13415985420161,0.79915762249827
2016,Iceland,2194,0.0979639221289516,0.066621523549828,0.913017697739688,0,0.0586738438087424,0.808860846791948,0.402334928974234,0.88656581252943,0.862273231870702,0.794025752885097,0.938966314576028,1.3459701738393,0.846426254931696
2017,Iceland,2983,0.13319342739775,0.802163314762614,0.439688447931379,0.0900825112835021,0.913017697739688,0,0.066621523549828,0.971691541548431,0.808860846791948,0.468956452524061,1.79958351026912,0.862273231870702,0.860647276434925
2018,Iceland,1488,0.0664404357921057,0.00902723312392739,0.352197125237239,0.303179999559891,0.439688447931379,0.0900825112835021,0.802163314762614,1.35270614567107,0.0900825112835021,0.868784838312442,1.41137998947981,0.89894335807545,1.27111976728668
2019,Iceland,925,0.0413020182175388,0.118155140723592,0.155474294583674,0.139390746868122,0.352197125237239,0.303179999559891,0.00902723312392739,0.791885573168618,0.393262510843393,0.811190547886542,1.70490327090831,0.393262510843393,0.87781207143637
2010,Ireland,3043,0.16052964760498,0.470286264524683,0.0322904754345695,1.10271973609055,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Ireland,1102,0.0581346275585567,0.0399867808603829,0.540238667613952,0.00112082711123227,0.0322904754345695,1.10271973609055,0.470286264524683,NA,NA,NA,NA,NA,NA
2012,Ireland,1986,0.10476893859464,0.495039933640916,0.383190642344412,0.169458809961074,0.540238667613952,0.00112082711123227,0.0399867808603829,0.572529143048521,1.10384056320178,0.510273045385066,NA,NA,NA
2013,Ireland,1392,0.0734332137581768,0.0145180460873946,0.483908632937394,0.23590545855698,0.383190642344412,0.169458809961074,0.495039933640916,0.923429309958364,0.170579637072307,0.535026714501298,0.955719785392933,1.27329937316285,1.00531297902598
